timestamp,date,latitude,longitude
1636148705,"2021-11-05 21:45:05",46.740446,-117.162511
1636151709,"2021-11-05 22:35:09",46.740465,-117.162505
1636152778,"2021-11-05 22:52:58",46.740465,-117.162505
1636154597,"2021-11-05 23:23:17",46.740484,-117.162498
1636157413,"2021-11-06 00:10:13",46.740484,-117.162498
1636159223,"2021-11-06 00:40:23",46.740484,-117.162498
1636163062,"2021-11-06 01:44:22",46.74033,-117.162738
1636166030,"2021-11-06 02:33:50",46.74033,-117.162738
1636166137,"2021-11-06 02:35:37",46.7401,-117.162456
1636166957,"2021-11-06 02:49:17",46.74002,-117.162445
1636167730,"2021-11-06 03:02:10",46.740464,-117.162491
1636171004,"2021-11-06 03:56:44",46.740472,-117.162495
1636171964,"2021-11-06 04:12:44",46.74047,-117.162495
1636172881,"2021-11-06 04:28:01",46.740445,-117.162486
1636173808,"2021-11-06 04:43:28",46.740467,-117.162497
1636174653,"2021-11-06 04:57:33",46.740227,-117.162696
1636174708,"2021-11-06 04:58:28",46.740474,-117.162493
1636176999,"2021-11-06 05:36:39",46.740464,-117.162485
1636177905,"2021-11-06 05:51:45",46.740467,-117.162487
1636178546,"2021-11-06 06:02:26",46.740465,-117.162494
1636180392,"2021-11-06 06:33:12",46.740471,-117.162485
1636181466,"2021-11-06 06:51:06",46.740468,-117.16249
1636182394,"2021-11-06 07:06:34",46.740474,-117.16249
1636182485,"2021-11-06 07:08:05",46.74088,-117.162425
1636182557,"2021-11-06 07:09:17",46.740466,-117.162483
1636183366,"2021-11-06 07:22:46",46.740462,-117.16249
1636185509,"2021-11-06 07:58:29",46.740472,-117.162491
1636187207,"2021-11-06 08:26:47",46.740472,-117.162511
1636190071,"2021-11-06 09:14:31",46.740465,-117.162489
1636193279,"2021-11-06 10:07:59",46.740474,-117.162473
1636195936,"2021-11-06 10:52:16",46.740474,-117.162473
1636196995,"2021-11-06 11:09:55",46.740474,-117.162473
1636201002,"2021-11-06 12:16:42",46.740436,-117.162366
1636203732,"2021-11-06 13:02:12",46.740436,-117.162366
1636206563,"2021-11-06 13:49:23",46.740436,-117.162366
1636209139,"2021-11-06 14:32:19",46.740436,-117.162366
1636211170,"2021-11-06 15:06:10",46.740466,-117.162491
1636221833,"2021-11-06 18:03:53",46.740473,-117.162496
1636222734,"2021-11-06 18:18:54",46.740454,-117.162527
1636233879,"2021-11-06 21:24:39",46.712465,-117.176052
1636234918,"2021-11-06 21:41:58",46.740464,-117.16249
1636237816,"2021-11-06 22:30:16",46.740469,-117.162486
1636238824,"2021-11-06 22:47:04",46.74047,-117.162495
1636239831,"2021-11-06 23:03:51",46.740467,-117.162493
1636240892,"2021-11-06 23:21:32",46.740477,-117.162492
1636241316,"2021-11-06 23:28:36",46.740475,-117.162492
1636398319,"2021-11-08 19:05:19",46.740463,-117.162501
1636398357,"2021-11-08 19:05:57",46.740565,-117.163133
1636398374,"2021-11-08 19:06:14",46.740468,-117.162526
1636402429,"2021-11-08 20:13:49",46.740465,-117.162493
1636403335,"2021-11-08 20:28:55",46.740473,-117.162496
1636404257,"2021-11-08 20:44:17",46.740457,-117.162507
1636404579,"2021-11-08 20:49:39",46.73997,-117.162609
1636404614,"2021-11-08 20:50:14",46.739816,-117.163187
1636404645,"2021-11-08 20:50:45",46.740085,-117.163496
1636404650,"2021-11-08 20:50:50",46.739774,-117.163767
1636404677,"2021-11-08 20:51:17",46.739942,-117.1643
1636404708,"2021-11-08 20:51:48",46.739669,-117.16466
1636404739,"2021-11-08 20:52:19",46.739343,-117.165613
1636404769,"2021-11-08 20:52:49",46.738968,-117.166243
1636404799,"2021-11-08 20:53:19",46.738867,-117.166784
1636404830,"2021-11-08 20:53:50",46.738555,-117.167512
1636404860,"2021-11-08 20:54:20",46.738315,-117.167907
1636404919,"2021-11-08 20:55:19",46.737638,-117.168076
1636404980,"2021-11-08 20:56:20",46.736596,-117.16817
1636405010,"2021-11-08 20:56:50",46.736321,-117.168224
1636405039,"2021-11-08 20:57:19",46.73587,-117.168336
1636405070,"2021-11-08 20:57:50",46.735574,-117.168297
1636405100,"2021-11-08 20:58:20",46.73524,-117.167948
1636405129,"2021-11-08 20:58:49",46.734873,-117.167811
1636405159,"2021-11-08 20:59:19",46.734313,-117.167951
